Id;SeriesId;Title;Season;EpisodeNumber;Duration;ReleaseDate;ViewCount
1001;101;Az új szomszéd;1;1;22;2007-09-24;610000
1002;101;Rendmánia;1;2;21;2007-10-01;590000
1003;101;Randivágy;1;3;21;2007-10-08;570000
1004;101;Kirúgva;1;4;21;2007-10-15;550000
1005;101;Az egy-éjszakás kaland;1;5;21;2007-10-22;530000
1006;101;A buli-állat;1;6;21;2007-10-29;520000
1007;101;Csak szex;1;7;21;2007-11-05;510000
1008;101;Indiai módra;1;8;21;2007-11-12;500000
1009;101;Elbaltázott előadás;1;9;21;2007-11-19;490000
1010;101;Hazugságok útvesztője;1;10;21;2007-11-26;480000
1011;101;Fránya nátha;1;11;21;2007-12-03;470000
1012;101;A csodagyerek;1;12;21;2007-12-10;460000
1013;101;Szellemi fölény;1;13;21;2007-12-17;450000
1014;101;Az időgép;1;14;21;2008-01-07;440000
1015;101;Az ikertesók;1;15;21;2008-03-17;430000
1016;101;Mogyorós csoki;1;16;21;2008-05-05;420000
1017;101;A mandarinos csirke;1;17;21;2008-05-12;415000
1018;102;Új szomszédok;1;1;23;1987-04-05;540000
1019;102;Peggy és a stewardesek;1;2;23;1987-04-12;520000
1020;102;Jaj a betörőknek;1;3;23;1987-04-19;510000
1021;102;Egy zsák alma;1;4;23;1987-04-26;495000
1022;102;Autóőrület;1;5;23;1987-05-03;480000
1023;102;Házassági évforduló;1;6;23;1987-05-10;470000
1024;102;Nős – gyerekek nélkül;1;7;23;1987-05-17;460000
1025;102;A pókerjátszma;1;8;23;1987-05-24;450000
1026;102;Peggy belép a munkásosztályba;1;9;23;1987-05-31;440000
1027;102;Al kísértése;1;10;23;1987-06-07;430000
1028;102;Rémálom Al utcájában;1;11;23;1987-06-14;420000
1029;102;Nem félünk a főnöktől;1;12;23;1987-06-21;410000
1030;102;A terveket lelövik, ugye?;1;13;23;1987-06-28;400000
1031;103;Randi vagy nem randi, ez itt a kérdés;1;1;23;1994-09-22;720000
1032;103;Ultrahang;1;2;22;1994-09-29;700000
1033;103;A hüvelykujj;1;3;22;1994-10-06;690000
1034;103;Hoki, avagy más pizzája;1;4;22;1994-10-13;680000
1035;103;Új német mosópor;1;5;22;1994-10-20;670000
1036;103;Fenekes karrier;1;6;22;1994-10-27;660000
1037;103;Áramszünet;1;7;22;1994-11-03;650000
1038;103;Nana kétszer hal meg;1;8;22;1994-11-10;640000
1039;103;Hálaadás ünnepe;1;9;22;1994-11-17;630000
1040;103;Szilveszter;1;10;22;1994-12-15;620000
