Id;Title;Description;ReleaseYear;Genre;AgeLimit;Duration;ViewCount;Director;Actors;Budget;Revenue;Ratings
1;A remény rabjai;Egy ártatlanul elítélt bankár barátságot és reményt talál a Shawshank börtön falai között.;1994;Dráma;16;142;12850000;Frank Darabont;Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown|Gil Bellows|James Whitmore;25000000;73300000;10|9|10|9|10
2;A keresztapa;Egy maffiacsalád idős vezetője megpróbálja átadni birodalmát vonakodó fiának.;1972;Krimi;18;175;11420000;Francis Ford Coppola;Marlon Brando|Al Pacino|James Caan|Robert Duvall|Diane Keaton|Talia Shire|John Cazale|Richard S. Castellano;6000000;250000000;10|10|9|10|10
3;A sötét lovag;Batmannek és szövetségeseinek egy kaotikus bűnözővel, a Jokerrel kell szembenézniük.;2008;Akció;12;152;18670000;Christopher Nolan;Christian Bale|Heath Ledger|Aaron Eckhart|Michael Caine|Gary Oldman|Maggie Gyllenhaal|Morgan Freeman|Cillian Murphy|Tom Hardy;185000000;1006000000;10|10|10|9|10
4;Ponyvaregény;Két bérgyilkos, egy bokszoló és egy gengszterfeleség történetei kapcsolódnak össze Los Angelesben.;1994;Krimi;18;154;15930000;Quentin Tarantino;John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Ving Rhames|Harvey Keitel|Tim Roth|Amanda Plummer|Maria de Medeiros|Christopher Walken;8000000;213900000;9|10|9|10|9
5;Forrest Gump;Egy egyszerű gondolkodású férfi rendkívüli életútja során az amerikai történelem számos eseményének részese lesz.;1994;Dráma;12;142;14750000;Robert Zemeckis;Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson|Sally Field;55000000;678200000;10|9|10|9|10
6;Eredet;Egy különleges tolvaj csapatával mások álmaiba hatolva próbálja végrehajtani élete legnehezebb feladatát.;2010;Sci-Fi;12;148;17240000;Christopher Nolan;Leonardo DiCaprio|Joseph Gordon-Levitt|Tom Hardy|Elliot Page|Ken Watanabe|Marion Cotillard|Cillian Murphy|Michael Caine;160000000;839000000;9|10|10|9|9
7;Csillagok között;Egy pilóta és kutatócsapat új lakható bolygót keres az emberiség túlélése érdekében.;2014;Sci-Fi;12;169;16480000;Christopher Nolan;Matthew McConaughey|Anne Hathaway|Jessica Chastain|Mackenzie Foy|Michael Caine|Matt Damon|Casey Affleck|John Lithgow|Ellen Burstyn;165000000;759700000;10|9|10|10|9
8;A Gyűrűk Ura: A gyűrű szövetsége;Egy hobbitnak és társainak el kell juttatniuk egy hatalmas erejű gyűrűt Mordorba.;2001;Fantasy;12;178;19360000;Peter Jackson;Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Orlando Bloom|John Rhys-Davies|Sean Bean|Cate Blanchett|Liv Tyler|Christopher Lee;93000000;898200000;9|10|10|9|10
9;A Gyűrűk Ura: A két torony;A szövetség szétszakadása után a hősök külön utakon folytatják harcukat Szauron ellen.;2002;Fantasy;12;179;18120000;Peter Jackson;Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Orlando Bloom|John Rhys-Davies|Bernard Hill|Miranda Otto|Andy Serkis;94000000;947900000;10|9|10|9|10
10;A Gyűrűk Ura: A király visszatér;A szabad népek utolsó nagy csatára készülnek, miközben Frodó és Samu folytatja útját Mordor felé.;2003;Fantasy;12;201;20150000;Peter Jackson;Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Orlando Bloom|John Rhys-Davies|Miranda Otto|Andy Serkis|Liv Tyler|Hugo Weaving|David Wenham;94000000;1147000000;10|10|10|9|10
