Id;Title;Description;ReleaseYear;Genre;AgeLimit;Duration;ViewCount;Creator;IsOngoing;Ratings
101;Agymenők;Két zseniális fizikus és barátaik mindennapjai a tudomány, a munka és a párkapcsolatok világában.;2007;Vígjáték;12;22;8420000;Chuck Lorre|Bill Prady;false;9|9|10|8|9
102;Egy rém rendes család;Egy chicagói cipőkereskedő és meglehetősen különc családjának mindennapjai.;1987;Vígjáték;12;23;7160000;Michael G. Moye|Ron Leavitt;false;9|8|9|9|8
103;Jóbarátok;Hat fiatal barát élete, szerelmei, munkája és mindennapi kalandjai New Yorkban.;1994;Vígjáték;12;22;9630000;David Crane|Marta Kauffman;false;10|9|10|10|9
104;Dr. House;Egy különc és zseniális orvos különösen nehéz és rejtélyes betegségeket próbál diagnosztizálni.;2004;Dráma;16;44;7820000;David Shore;false;9|10|9|9|10
105;A mentalista;Egy kivételes megfigyelőképességgel rendelkező tanácsadó segít a rendőrségnek különleges gyilkossági ügyek megoldásában.;2008;Krimi;16;43;6940000;Bruno Heller;false;9|9|10|8|9
106;Így jártam anyátokkal;Ted Mosby évekkel később meséli el gyermekeinek, hogyan találkozott az édesanyjukkal.;2005;Vígjáték;12;22;8150000;Carter Bays|Craig Thomas;false;9|10|9|9|10
107;Szökés;Egy férfi szándékosan börtönbe kerül, hogy kiszabadítsa ártatlanul halálra ítélt testvérét.;2005;Akció;16;44;7310000;Paul Scheuring;false;9|9|8|10|9
108;Lost – Eltűntek;Egy repülőgép-szerencsétlenség túlélői egy rejtélyes szigeten próbálnak életben maradni.;2004;Kaland;16;43;6580000;J. J. Abrams|Damon Lindelof|Jeffrey Lieber;false;9|10|9|8|9
109;Dexter;Egy rendőrségi vérnyomelemző titokban sorozatgyilkosokat vadászik le saját szabályai szerint.;2006;Krimi;18;51;7490000;James Manos Jr.;false;10|9|9|10|9
110;Hősök;Különleges képességekkel rendelkező emberek fedezik fel, hogy sorsuk összekapcsolódik.;2006;Sci-Fi;16;43;5830000;Tim Kring;false;9|8|9|8|9
